city,lat,lon
Aosta,45.7370885,7.3196649
Torino,45.0677551,7.6824892
Novara,45.58425,8.545997
Vercelli,45.5553827,8.3462837
Biella,45.5669538,8.086912
Alessandria,44.8349534,8.7450304
Asti,44.8260127,8.2026863
Cuneo,44.4580704,7.5581367
Savona,44.2334238,8.2525727
Imperia,43.9583753,7.8667427
Genova,44.40726,8.9338624
La Spezia,44.238366,9.6912326
Milano,45.4641943,9.1896346
Monza,45.6395418,9.2788304
Bergamo,45.7566557,9.7542192
Brescia,45.7795805,10.425873
Como,45.9394759,9.1494101
Lecco,45.9005485,9.4120248
Varese,45.8397203,8.7541338
Pavia,45.0368547,9.1378251
Lodi,45.2613104,9.4916781
Cremona,45.2208641,10.037038
Mantova,45.1692628,10.6708365
Sondrio,46.3233624,10.2584137
Piacenza,44.8476352,9.6665313
Verona,45.4424977,10.9857377
Vicenza,45.6348591,11.4063543
Padova,45.391408,11.8058487
Venezia,45.4371908,12.3345898
Treviso,45.8066913,12.2063158
Rovigo,44.9777098,12.2726835
Belluno,46.2805407,12.0789137
Bassano del Grappa,45.7669109,11.7343469
Trento,46.1029536,11.1297425
Bolzano,46.6559455,11.2302129
Trieste,45.6496485,13.7772781
Udine,46.0634632,13.2358377
Pordenone,45.9562503,12.6597197
Gorizia,45.9441278,13.6252288
Bologna,44.4938203,11.3426327
Modena,44.5384728,10.9359609
Reggio Emilia,44.6086674,10.5940667
Parma,44.6952006,10.0979869
Ferrara,44.7667642,11.827939
Ravenna,44.3640607,12.0590095
Forli,44.2227278,12.041273
Cesena,44.136352,12.2422442
Rimini,43.9465433,12.630749
Firenze,43.7697955,11.2556404
Pisa,43.4714722,10.6797912
Livorno,42.7902379,10.3402239
Lucca,44.0177639,10.45443
Siena,43.167206,11.467561
Arezzo,43.5171442,11.7639282
Grossetto,42.280484,12.9590606
Pistoia,43.9740957,10.8687081
Prato,43.9357181,11.0941473
Carrara,44.0771026,10.096726
Perugia,43.1070321,12.4029962
Terni,42.6539486,12.4396528
Spoleto,42.7342971,12.7382035
Assisi,43.0711952,12.6146669
Ancona,43.4801189,13.2187279
Pesaro,43.9098114,12.9131228
Urbino,43.7262608,12.6363135
Ascoli Piceno,42.8834204,13.539593
Fermo,43.0922489,13.6387681
Macerata,43.1529781,13.1508822
Roma,41.8933203,12.4829321
Latina,41.4595261,13.0125912
Frosinone,41.6285468,13.5758498
Viterbo,42.4929522,11.9488136
Rieti,42.4147364,12.8858881
Chiavari,44.3164494,9.3233382
Pontedera,43.6634536,10.6354851
Empoli,43.7194884,10.9458556
Montecatini Terme,43.883179,10.7709533
Cecina,43.3113449,10.5173443
Piombino,42.9231662,10.5268192
Follonica,42.926326,10.761625
Poggibonsi,43.4677215,11.148762
Imola,44.3535145,11.7141233
Carpi,44.7835699,10.8854523
Fidenza,44.866522,10.0611939
Legnano,45.5946464,8.9181625
Rho,45.528878,9.04156
Monfalcone,45.8049454,13.5330592
Palmanova,45.9054635,13.3099318
Cittadella,45.6487941,11.7835801
Schio,45.7113511,11.3553593
Conegliano,45.8862172,12.2977566
Vigevano,45.3170942,8.858603
Abbiategrasso,45.398733,8.9162299
